fecha,producto,region,cantidad,precio_unitario
2015-01-05,Webcam HD,Bajio,11,311.06
2015-01-12,Monitor 27 4K,Norte,15,1367.1
2015-01-03,Laptop Pro 14,Bajio,7,360.67
2015-01-18,Monitor 27 4K,Bajio,1,2101.76
2015-01-08,Monitor 27 4K,Norte,10,1546.75
2015-01-08,Laptop Pro 14,Norte,9,2174.48
2015-01-14,Docking USB-C,Centro,9,470.92
2015-01-18,Docking USB-C,Centro,2,1537.68
2015-01-12,Mouse ergonomico,Norte,9,1837.85
2015-01-20,Laptop Pro 14,Centro,8,1764.92
2015-01-25,Silla ergonomica,Sur,8,1546.79
2015-01-12,Audifonos ANC,Sur,4,2027.07
2015-01-03,Mouse ergonomico,Sur,9,1338.77
2015-01-24,Webcam HD,Bajio,5,1600.61
2015-01-04,Monitor 27 4K,Bajio,3,1941.42
2015-01-16,Teclado mecanico,Bajio,1,2412.64
2015-01-25,Monitor 27 4K,Sur,6,1799.18
2015-01-19,Audifonos ANC,Bajio,2,2131.93
2015-01-16,Docking USB-C,Norte,1,1881.67
2015-01-21,Docking USB-C,Bajio,5,1848.24
2015-01-01,Webcam HD,Bajio,6,586.51
2015-01-16,Monitor 27 4K,Norte,4,1966.94
2015-01-24,Teclado mecanico,Centro,7,1099.18
2015-01-03,Audifonos ANC,Centro,8,1123.78
2015-01-05,Docking USB-C,Bajio,14,1465.5
2015-01-12,Silla ergonomica,Bajio,4,547.12
2015-01-05,Teclado mecanico,Centro,11,736.67
2015-01-27,Audifonos ANC,Centro,5,848.44
2015-01-14,Teclado mecanico,Sur,10,1502.58
2015-01-23,Teclado mecanico,Norte,8,2268.93
2015-01-13,Silla ergonomica,Bajio,7,438.14
2015-01-02,Silla ergonomica,Centro,2,2464.74
2015-01-06,Audifonos ANC,Norte,6,1581.67
2015-01-01,Monitor 27 4K,Centro,9,433.37
2015-01-20,Webcam HD,Norte,2,2210.96
2015-01-05,Silla ergonomica,Sur,6,1585.24
2015-01-04,Audifonos ANC,Norte,14,1322.56
2015-01-16,Audifonos ANC,Bajio,5,397.53
2015-01-24,Monitor 27 4K,Sur,12,808.94
2015-01-17,Teclado mecanico,Norte,4,2387.27
2015-02-05,Webcam HD,Norte,13,1414.65
2015-02-23,Monitor 27 4K,Sur,9,1043.41
2015-02-12,Teclado mecanico,Centro,9,1445.6
2015-02-21,Webcam HD,Centro,10,2066.48
2015-02-26,Mouse ergonomico,Centro,14,1121.57
2015-02-07,Mouse ergonomico,Bajio,6,1881.31
2015-02-26,Laptop Pro 14,Sur,8,796.1
2015-02-15,Webcam HD,Sur,6,385.24
2015-02-08,Monitor 27 4K,Bajio,4,976.8
2015-02-20,Audifonos ANC,Norte,8,2291.16
2015-02-26,Webcam HD,Norte,14,1719.35
2015-02-26,Silla ergonomica,Centro,8,2244.73
2015-02-26,Silla ergonomica,Sur,2,2041.89
2015-02-15,Silla ergonomica,Bajio,12,2377.63
2015-02-06,Teclado mecanico,Centro,1,547.65
2015-02-26,Audifonos ANC,Centro,10,2100.97
2015-02-22,Audifonos ANC,Sur,3,1461.92
2015-02-01,Teclado mecanico,Norte,13,2433.05
2015-02-17,Monitor 27 4K,Centro,7,2469.06
2015-02-27,Mouse ergonomico,Centro,1,779.22
2015-02-17,Docking USB-C,Centro,13,1548.81
2015-02-18,Docking USB-C,Bajio,14,501.47
2015-02-15,Webcam HD,Bajio,14,2310.76
2015-02-18,Teclado mecanico,Centro,9,1374.26
2015-02-25,Audifonos ANC,Centro,10,209.04
2015-02-06,Teclado mecanico,Centro,8,1623.93
2015-02-18,Monitor 27 4K,Norte,6,1769.36
2015-02-26,Audifonos ANC,Norte,15,1488.68
2015-02-07,Mouse ergonomico,Sur,1,1976.2
2015-02-18,Audifonos ANC,Norte,13,2256.23
2015-02-15,Monitor 27 4K,Sur,10,2438.73
2015-02-23,Mouse ergonomico,Sur,8,1368.76
2015-02-17,Audifonos ANC,Centro,12,1403.38
2015-02-18,Docking USB-C,Centro,14,1229.31
2015-02-04,Silla ergonomica,Bajio,8,926.75
2015-02-14,Mouse ergonomico,Norte,4,1739.79
2015-02-25,Monitor 27 4K,Centro,12,1679.95
2015-02-05,Webcam HD,Sur,15,515.69
2015-02-08,Audifonos ANC,Norte,7,2235.35
2015-02-22,Teclado mecanico,Centro,3,1824.54
2015-03-11,Silla ergonomica,Bajio,4,1020.21
2015-03-24,Monitor 27 4K,Sur,1,977.35
2015-03-15,Audifonos ANC,Norte,7,962.45
2015-03-17,Docking USB-C,Norte,2,2465.69
2015-03-04,Mouse ergonomico,Norte,5,825.42
2015-03-09,Teclado mecanico,Centro,14,1171.18
2015-03-13,Docking USB-C,Centro,9,2314.09
2015-03-23,Audifonos ANC,Sur,2,841.84
2015-03-14,Teclado mecanico,Norte,5,2358.2
2015-03-26,Monitor 27 4K,Sur,2,1598.81
2015-03-03,Mouse ergonomico,Sur,14,479.86
2015-03-11,Laptop Pro 14,Bajio,15,2305.48
2015-03-02,Teclado mecanico,Centro,2,2429.19
2015-03-02,Docking USB-C,Centro,4,2344.17
2015-03-17,Docking USB-C,Centro,5,1225.08
2015-03-09,Teclado mecanico,Sur,13,241.78
2015-03-02,Docking USB-C,Norte,1,1886.08
2015-03-17,Mouse ergonomico,Bajio,4,2349.68
2015-03-22,Monitor 27 4K,Bajio,11,1338.5
2015-03-17,Silla ergonomica,Sur,12,694.92
2015-03-11,Mouse ergonomico,Centro,14,2228.43
2015-03-13,Teclado mecanico,Sur,1,2125.07
2015-03-03,Laptop Pro 14,Sur,7,575.47
2015-03-22,Monitor 27 4K,Bajio,14,1363.67
2015-03-20,Docking USB-C,Centro,12,874.03
2015-03-06,Audifonos ANC,Centro,5,1225.4
2015-03-12,Docking USB-C,Sur,9,944.13
2015-03-10,Laptop Pro 14,Centro,6,620.8
2015-03-13,Webcam HD,Norte,8,841.54
2015-03-08,Mouse ergonomico,Norte,2,807.59
2015-03-05,Monitor 27 4K,Bajio,10,295.83
2015-03-10,Laptop Pro 14,Sur,11,735.46
2015-03-22,Teclado mecanico,Bajio,13,950.11
2015-03-05,Audifonos ANC,Sur,12,1623.03
2015-03-02,Teclado mecanico,Bajio,12,1812.42
2015-03-17,Teclado mecanico,Norte,14,1778.89
2015-03-03,Mouse ergonomico,Norte,1,506.11
2015-03-04,Webcam HD,Bajio,14,1238.19
2015-03-21,Laptop Pro 14,Norte,11,1422.32
2015-03-16,Mouse ergonomico,Sur,1,1250.98
2015-04-24,Monitor 27 4K,Norte,11,1409.78
2015-04-09,Audifonos ANC,Norte,14,810.78
2015-04-08,Mouse ergonomico,Bajio,8,2144.72
2015-04-16,Monitor 27 4K,Sur,13,307.52
2015-04-03,Mouse ergonomico,Centro,6,784.06
2015-04-20,Docking USB-C,Centro,1,1309.57
2015-04-09,Audifonos ANC,Norte,12,700.69
2015-04-10,Audifonos ANC,Sur,8,1271.56
2015-04-18,Monitor 27 4K,Centro,5,2449.69
2015-04-01,Audifonos ANC,Sur,8,375.87
2015-04-09,Audifonos ANC,Bajio,4,2308.08
2015-04-03,Mouse ergonomico,Norte,3,1919.22
2015-04-12,Docking USB-C,Centro,10,2086.5
2015-04-04,Docking USB-C,Sur,4,1345.14
2015-04-13,Audifonos ANC,Norte,3,208.26
2015-04-22,Audifonos ANC,Bajio,7,894.49
2015-04-14,Teclado mecanico,Sur,7,926.98
2015-04-01,Webcam HD,Sur,13,978.03
2015-04-04,Silla ergonomica,Centro,12,226.96
2015-04-09,Docking USB-C,Sur,2,1103.67
2015-04-12,Monitor 27 4K,Bajio,13,832.86
2015-04-09,Laptop Pro 14,Norte,1,2119.75
2015-04-21,Docking USB-C,Centro,4,2433.39
2015-04-17,Silla ergonomica,Sur,4,1978.32
2015-04-01,Silla ergonomica,Bajio,15,2214.17
2015-04-24,Mouse ergonomico,Norte,1,2346.97
2015-04-15,Silla ergonomica,Centro,11,2199.8
2015-04-02,Audifonos ANC,Centro,3,1286.02
2015-04-10,Webcam HD,Sur,5,1899.77
2015-04-13,Docking USB-C,Centro,5,1311.32
2015-04-04,Silla ergonomica,Centro,11,571.81
2015-04-17,Mouse ergonomico,Bajio,9,706.06
2015-04-25,Webcam HD,Bajio,7,521.07
2015-04-08,Mouse ergonomico,Norte,3,986.5
2015-04-11,Monitor 27 4K,Centro,6,794.22
2015-04-01,Mouse ergonomico,Bajio,7,1151.93
2015-04-13,Mouse ergonomico,Sur,6,1929.86
2015-04-09,Audifonos ANC,Sur,3,1779.53
2015-04-03,Mouse ergonomico,Sur,15,771.44
2015-04-21,Silla ergonomica,Bajio,7,2394.07
2015-05-05,Laptop Pro 14,Norte,7,1831.88
2015-05-19,Audifonos ANC,Bajio,1,368.22
2015-05-15,Audifonos ANC,Centro,13,450.81
2015-05-05,Teclado mecanico,Norte,14,1859.99
2015-05-03,Audifonos ANC,Norte,1,1999.29
2015-05-19,Mouse ergonomico,Norte,11,1844.55
2015-05-21,Teclado mecanico,Sur,9,1663.47
2015-05-04,Monitor 27 4K,Norte,5,1406.2
2015-05-13,Mouse ergonomico,Sur,4,2018.12
2015-05-01,Laptop Pro 14,Sur,8,840.79
2015-05-21,Webcam HD,Centro,8,1410.44
2015-05-01,Mouse ergonomico,Bajio,12,1694.19
2015-05-01,Laptop Pro 14,Centro,8,2235.15
2015-05-03,Silla ergonomica,Sur,4,1734.92
2015-05-08,Webcam HD,Bajio,1,1800.39
2015-05-12,Silla ergonomica,Bajio,4,215.53
2015-05-24,Docking USB-C,Norte,4,1340.1
2015-05-10,Mouse ergonomico,Centro,4,1269.76
2015-05-25,Docking USB-C,Sur,2,2389.43
2015-05-20,Audifonos ANC,Centro,15,713.65
2015-05-22,Silla ergonomica,Norte,10,536.68
2015-05-02,Silla ergonomica,Centro,1,2440.48
2015-05-14,Teclado mecanico,Norte,12,338.31
2015-05-15,Silla ergonomica,Sur,12,460.37
2015-05-06,Monitor 27 4K,Sur,4,626.68
2015-05-02,Audifonos ANC,Sur,11,1868.37
2015-05-11,Webcam HD,Bajio,3,450.6
2015-05-09,Monitor 27 4K,Norte,6,1166.42
2015-05-18,Monitor 27 4K,Centro,7,1020.25
2015-05-27,Docking USB-C,Bajio,2,313.29
2015-05-07,Audifonos ANC,Sur,9,2314.86
2015-05-11,Mouse ergonomico,Sur,12,2263.08
2015-05-21,Laptop Pro 14,Bajio,4,2067.2
2015-05-02,Silla ergonomica,Bajio,1,1267.32
2015-05-09,Laptop Pro 14,Centro,12,344.56
2015-05-12,Webcam HD,Sur,6,2402.69
2015-05-09,Laptop Pro 14,Sur,15,833.95
2015-05-24,Laptop Pro 14,Norte,1,2099.84
2015-05-16,Monitor 27 4K,Bajio,13,1088.98
2015-05-14,Docking USB-C,Bajio,3,2334.63
2015-06-01,Teclado mecanico,Sur,14,1791.85
2015-06-20,Teclado mecanico,Centro,6,2180.86
2015-06-12,Audifonos ANC,Norte,9,653.82
2015-06-08,Teclado mecanico,Bajio,2,1693.96
2015-06-18,Audifonos ANC,Sur,3,2454.59
2015-06-03,Monitor 27 4K,Sur,10,393.39
2015-06-14,Monitor 27 4K,Bajio,12,2435.87
2015-06-08,Teclado mecanico,Centro,7,1260.12
2015-06-24,Mouse ergonomico,Norte,13,2134.0
2015-06-09,Docking USB-C,Sur,6,784.33
2015-06-07,Docking USB-C,Bajio,4,627.19
2015-06-05,Mouse ergonomico,Sur,15,2287.41
2015-06-11,Mouse ergonomico,Norte,7,778.8
2015-06-17,Mouse ergonomico,Centro,11,2059.42
2015-06-02,Audifonos ANC,Norte,1,1291.95
2015-06-27,Mouse ergonomico,Bajio,15,1059.92
2015-06-08,Docking USB-C,Norte,1,636.02
2015-06-03,Mouse ergonomico,Sur,9,2192.09
2015-06-20,Audifonos ANC,Sur,13,1988.89
2015-06-04,Laptop Pro 14,Sur,4,286.15
2015-06-05,Webcam HD,Norte,4,2499.71
2015-06-20,Laptop Pro 14,Centro,14,226.17
2015-06-14,Webcam HD,Sur,3,1628.33
2015-06-07,Monitor 27 4K,Norte,13,1339.94
2015-06-03,Audifonos ANC,Bajio,2,2030.44
2015-06-21,Teclado mecanico,Norte,11,576.49
2015-06-14,Docking USB-C,Sur,11,907.47
2015-06-10,Laptop Pro 14,Sur,7,1157.82
2015-06-21,Webcam HD,Centro,7,1874.47
2015-06-01,Mouse ergonomico,Bajio,15,560.1
2015-06-27,Monitor 27 4K,Norte,7,1528.93
2015-06-15,Webcam HD,Centro,3,234.12
2015-06-21,Teclado mecanico,Bajio,2,1517.59
2015-06-24,Webcam HD,Centro,3,1000.27
2015-06-17,Teclado mecanico,Centro,15,354.32
2015-06-16,Silla ergonomica,Centro,5,491.3
2015-06-16,Laptop Pro 14,Sur,1,1597.58
2015-06-03,Silla ergonomica,Centro,11,2007.4
2015-06-20,Mouse ergonomico,Bajio,10,2146.61
2015-06-06,Audifonos ANC,Centro,1,1119.41
2015-07-13,Teclado mecanico,Sur,2,543.77
2015-07-02,Mouse ergonomico,Norte,11,2127.87
2015-07-13,Monitor 27 4K,Bajio,9,2152.72
2015-07-21,Docking USB-C,Bajio,5,1540.04
2015-07-13,Silla ergonomica,Sur,8,1358.23
2015-07-01,Teclado mecanico,Norte,10,2468.12
2015-07-08,Audifonos ANC,Bajio,13,1622.72
2015-07-27,Audifonos ANC,Centro,13,1288.4
2015-07-03,Monitor 27 4K,Centro,6,1190.38
2015-07-26,Monitor 27 4K,Bajio,9,1373.37
2015-07-02,Laptop Pro 14,Centro,2,2320.89
2015-07-25,Webcam HD,Norte,1,1929.74
2015-07-21,Silla ergonomica,Centro,1,2171.26
2015-07-07,Monitor 27 4K,Centro,15,1331.3
2015-07-22,Teclado mecanico,Centro,2,2115.98
2015-07-06,Docking USB-C,Sur,15,1611.12
2015-07-05,Audifonos ANC,Sur,9,2417.95
2015-07-07,Audifonos ANC,Sur,10,1363.82
2015-07-12,Webcam HD,Norte,4,618.82
2015-07-21,Teclado mecanico,Sur,11,954.0
2015-07-06,Silla ergonomica,Sur,2,1967.01
2015-07-21,Laptop Pro 14,Sur,14,1241.99
2015-07-09,Monitor 27 4K,Bajio,12,2034.64
2015-07-13,Docking USB-C,Sur,10,536.25
2015-07-25,Webcam HD,Norte,8,729.11
2015-07-10,Laptop Pro 14,Sur,5,1670.25
2015-07-24,Webcam HD,Norte,12,277.72
2015-07-10,Teclado mecanico,Bajio,7,1379.16
2015-07-05,Laptop Pro 14,Bajio,4,1608.79
2015-07-01,Laptop Pro 14,Norte,1,1504.38
2015-07-04,Docking USB-C,Sur,9,715.8
2015-07-19,Docking USB-C,Centro,4,1042.34
2015-07-06,Audifonos ANC,Centro,1,2354.16
2015-07-23,Mouse ergonomico,Centro,8,420.35
2015-07-28,Teclado mecanico,Sur,7,2066.61
2015-07-02,Laptop Pro 14,Sur,10,1684.89
2015-07-20,Audifonos ANC,Bajio,4,579.73
2015-07-02,Laptop Pro 14,Norte,9,258.02
2015-07-08,Teclado mecanico,Centro,1,2297.01
2015-07-01,Monitor 27 4K,Centro,3,1150.31
2015-08-27,Silla ergonomica,Centro,9,911.58
2015-08-21,Docking USB-C,Norte,15,1865.9
2015-08-23,Audifonos ANC,Norte,7,2142.19
2015-08-03,Audifonos ANC,Bajio,3,719.68
2015-08-09,Monitor 27 4K,Centro,11,289.28
2015-08-24,Webcam HD,Sur,12,320.83
